congress,date,mid,news_id,issue
115,2016-10-11,A000055,1841974874,Congressional political operations
115,2018-06-26,A000055,2076266793,Congressional political operations
115,2018-07-26,A000055,2076381415,International Trade
116,2019-01-24,A000055,2188134123,International Trade
116,2019-01-31,A000055,2188134067,International Trade
116,2019-01-31,A000055,2173999187,International Trade
116,2019-10-16,A000055,2306008391,"Science, Technology, Communications"
116,2019-12-31,A000055,2346539595,Foreign Affairs
117,2021-07-01,A000055,2547168419,Economics and Public Finance
118,2023-03-15,A000055,2787018459,Armed Forces
118,2023-05-05,A000055,2809959647,"Science, Technology, Communications"
118,2023-10-16,A000055,2881784425,Congressional political operations
117,2021-03-01,A000148,2492714886,Human Rights
117,2021-03-19,A000148,2503038863,"Civil Rights and Liberties, Minority Issues"
117,2021-09-13,A000148,2583457144,Foreign Affairs
117,2021-10-01,A000148,2578263598,Transportation and Public Works
117,2022-07-20,A000148,2692242894,Government Operations and Politics
117,2022-10-28,A000148,2729708605,Foreign Affairs
117,2022-11-03,A000148,2731604781,Energy
118,2023-02-07,A000148,2773991119,Foreign Affairs
118,2023-02-27,A000148,2780240341,Foreign Affairs
118,2023-04-11,A000148,2799233156,International Trade
118,2023-05-04,A000148,2809288795,Energy
118,2023-05-16,A000148,2814148509,Labor and Employment
118,2023-08-24,A000148,2856642626,Congressional political operations
118,2023-08-31,A000148,2858950485,"Civil Rights and Liberties, Minority Issues"
118,2023-09-02,A000148,2859265560,Government Operations and Politics
118,2023-09-27,A000148,2869370164,Foreign Affairs
118,2023-10-20,A000148,2879429189,Foreign Affairs
118,2024-06-03,A000148,3063679003,Human Rights
118,2024-07-25,A000148,3084294355,Government Operations and Politics
118,2024-07-27,A000148,3084461272,Foreign Affairs
118,2024-11-21,A000148,3131457484,Congressional political operations
118,2024-11-23,A000148,3131508851,Government Operations and Politics
115,2016-01-01,A000360,2756941157,"Science, Technology, Communications"
115,2016-01-02,A000360,2756940807,"Art, Culture, Religion"
115,2016-01-04,A000360,2756941225,"Art, Culture, Religion"
115,2016-01-04,A000360,2756941132,"Art, Culture, Religion"
115,2016-01-04,A000360,2756940846,"Art, Culture, Religion"
115,2016-01-04,A000360,2756940884,"Art, Culture, Religion"
115,2016-01-04,A000360,2756941055,"Art, Culture, Religion"
115,2016-01-04,A000360,2756940911,"Art, Culture, Religion"
115,2016-02-11,A000360,1780574633,Congressional political operations
115,2016-03-04,A000360,1780137131,Foreign Affairs
115,2016-03-18,A000360,1782244548,Foreign Affairs
115,2016-03-28,A000360,1776685212,Government Operations and Politics
115,2016-04-01,A000360,1769544205,Congressional political operations
115,2016-04-08,A000360,1789767808,Foreign Affairs
115,2016-04-15,A000360,1790896926,Foreign Affairs
115,2016-04-22,A000360,1792369654,Foreign Affairs
115,2016-06-26,A000360,1800368345,Congressional political operations
115,2016-07-01,A000360,1812275219,Foreign Affairs
115,2016-07-04,A000360,1807686295,Environmental Protection
115,2016-11-04,A000360,1846604303,Foreign Affairs
115,2016-12-02,A000360,1845444747,Foreign Affairs
115,2017-01-01,A000360,1872584348,Education
115,2017-02-05,A000360,1865116567,Immigration
115,2017-03-07,A000360,1875107809,Agriculture and Food
115,2017-03-15,A000360,1877911307,International Trade
115,2017-03-15,A000360,1888640035,International Trade
115,2017-08-18,A000360,1935724951,Government Operations and Politics
115,2017-10-15,A000360,1950992616,Foreign Affairs
115,2017-10-17,A000360,1951730353,International Trade
115,2017-10-20,A000360,1987346479,International Trade
115,2018-01-05,A000360,1970210493,Government Operations and Politics
115,2018-01-26,A000360,1991537785,"Civil Rights and Liberties, Minority Issues"
115,2018-02-13,A000360,2013209219,International Trade
115,2018-03-23,A000360,2017280174,Government Operations and Politics
115,2018-04-27,A000360,2031561443,Foreign Affairs
115,2018-05-15,A000360,2039008770,Congressional political operations
115,2018-05-24,A000360,2043508153,International Trade
115,2018-05-31,A000360,2047578112,International Trade
115,2018-06-04,A000360,2049747968,Foreign Affairs
115,2018-06-20,A000360,2067317042,Congressional political operations
115,2018-06-25,A000360,2061889778,International Trade
115,2018-06-26,A000360,2076266793,Congressional political operations
115,2018-07-26,A000360,2076422873,International Trade
115,2018-10-24,A000360,2151127815,Health
115,2018-10-25,A000360,2125016906,Health
116,2019-01-31,A000360,2174074784,International Trade
116,2019-02-06,A000360,2176427777,Economics and Public Finance
116,2019-05-09,A000360,2233916328,International Trade
116,2019-05-09,A000360,2222206295,International Trade
116,2019-10-16,A000360,2306328476,Government Operations and Politics
116,2020-01-10,A000360,2335357906,Taxation
116,2020-01-14,A000360,2337673307,Congressional political operations
116,2020-01-24,A000360,2344446909,Health
116,2020-01-31,A000360,2348961884,Congressional political operations
116,2020-02-03,A000360,2350543394,"Civil Rights and Liberties, Minority Issues"
116,2020-02-05,A000360,2351280239,Congressional political operations
116,2020-04-01,A000360,2451863489,Health
116,2020-05-12,A000360,2401417261,Health
116,2020-06-30,A000360,2418896603,Health
116,2020-08-04,A000360,2430176572,Public Lands and Natural Resources
116,2020-08-04,A000360,2434432160,Public Lands and Natural Resources
116,2020-10-19,A000360,2451902976,Health
116,2020-11-20,A000360,2462461663,Health
116,2020-11-20,A000360,2462507157,Armed Forces
